date,return
2020-01-01,0.012
2020-02-01,-0.006
2020-03-01,0.015
2020-04-01,0.008
2020-05-01,-0.004
2020-06-01,0.011
2020-07-01,0.009
2020-08-01,-0.007
2020-09-01,0.013
2020-10-01,0.006
2020-11-01,0.010
2020-12-01,0.014
2021-01-01,0.009
2021-02-01,0.005
2021-03-01,-0.008
2021-04-01,0.016
2021-05-01,0.007
2021-06-01,0.012
2021-07-01,-0.005
2021-08-01,0.010
2021-09-01,0.014
2021-10-01,0.003
2021-11-01,0.011
2021-12-01,0.008
2022-01-01,-0.012
2022-02-01,0.006
2022-03-01,0.009
2022-04-01,-0.018
2022-05-01,0.014
2022-06-01,0.005
2022-07-01,0.011
2022-08-01,-0.006
2022-09-01,0.013
2022-10-01,0.007
2022-11-01,0.010
2022-12-01,0.012
2023-01-01,0.008
2023-02-01,0.011
2023-03-01,-0.004
2023-04-01,0.015
2023-05-01,0.006
2023-06-01,0.009
2023-07-01,0.012
2023-08-01,-0.007
2023-09-01,0.014
2023-10-01,0.005
2023-11-01,0.010
2023-12-01,0.013
2024-01-01,0.010
2024-02-01,-0.005
2024-03-01,0.012
2024-04-01,0.007
2024-05-01,0.009
2024-06-01,0.014
2024-07-01,-0.006
2024-08-01,0.011
2024-09-01,0.008
2024-10-01,0.013
2024-11-01,0.004
2024-12-01,0.015
